id,text,missing_auth,missing_authz,missing_encryption,missing_validation,missing_audit,missing_ratelimit,category,is_augmented
22_aug_65,The system shall Critical system 7 handling sensitive PII and payments. (Variation 3),1,1,1,1,1,1,integration,1
23,Update the color scheme for component 13.,0,0,0,0,0,0,user_interface,0
23_aug_66,Ensure that Update the color scheme for component 13. (Variation 1),0,0,0,0,0,0,user_interface,1
23_aug_67,It is required to Update the color scheme for component 13. (Variation 2),0,0,0,0,0,0,user_interface,1
23_aug_68,The system shall Update the color scheme for component 13. (Variation 3),0,0,0,0,0,0,user_interface,1
24,Endpoint to update user status message.,1,0,0,1,0,0,api_endpoint,0
24_aug_69,Ensure that Endpoint to update user status message. (Variation 1),1,0,0,1,0,0,api_endpoint,1
24_aug_70,It is required to Endpoint to update user status message. (Variation 2),1,0,0,1,0,0,api_endpoint,1
24_aug_71,The system shall Endpoint to update user status message. (Variation 3),1,0,0,1,0,0,api_endpoint,1
25,Update the color scheme for component 26.,0,0,0,0,0,0,user_interface,0
25_aug_72,Ensure that Update the color scheme for component 26. (Variation 1),0,0,0,0,0,0,user_interface,1
25_aug_73,It is required to Update the color scheme for component 26. (Variation 2),0,0,0,0,0,0,user_interface,1
25_aug_74,The system shall Update the color scheme for component 26. (Variation 3),0,0,0,0,0,0,user_interface,1
26,API to fetch details for item 3.,0,1,0,0,0,1,api_endpoint,0
26_aug_75,Ensure that API to fetch details for item 3. (Variation 1),0,1,0,0,0,1,api_endpoint,1
26_aug_76,It is required to API to fetch details for item 3. (Variation 2),0,1,0,0,0,1,api_endpoint,1
26_aug_77,The system shall API to fetch details for item 3. (Variation 3),0,1,0,0,0,1,api_endpoint,1
27,Hide the sidebar on mobile devices.,0,0,0,0,0,0,user_interface,0
27_aug_78,Ensure that Hide the sidebar on mobile devices. (Variation 1),0,0,0,0,0,0,user_interface,1
27_aug_79,It is required to Hide the sidebar on mobile devices. (Variation 2),0,0,0,0,0,0,user_interface,1
27_aug_80,The system shall Hide the sidebar on mobile devices. (Variation 3),0,0,0,0,0,0,user_interface,1
28,Write a script to count lines in a text file.,0,0,0,0,0,0,trivial,0
28_aug_81,Ensure that Write a script to count lines in a text file. (Variation 1),0,0,0,0,0,0,trivial,1
28_aug_82,It is required to Write a script to count lines in a text file. (Variation 2),0,0,0,0,0,0,trivial,1
28_aug_83,The system shall Write a script to count lines in a text file. (Variation 3),0,0,0,0,0,0,trivial,1
29,Webhook listener for 3rd party events.,1,0,0,1,0,0,integration,0
29_aug_84,Ensure that Webhook listener for 3rd party events. (Variation 1),1,0,0,1,0,0,integration,1
29_aug_85,It is required to Webhook listener for 3rd party events. (Variation 2),1,0,0,1,0,0,integration,1
29_aug_86,The system shall Webhook listener for 3rd party events. (Variation 3),1,0,0,1,0,0,integration,1
30,Create an API to transfer funds between accounts.,1,1,0,1,1,0,payment,0
30_aug_87,Ensure that Create an API to transfer funds between accounts. (Variation 1),1,1,0,1,1,0,payment,1
30_aug_88,It is required to Create an API to transfer funds between accounts. (Variation 2),1,1,0,1,1,0,payment,1
30_aug_89,The system shall Create an API to transfer funds between accounts. (Variation 3),1,1,0,1,1,0,payment,1
31,Update the color scheme for component 10.,0,0,0,0,0,0,user_interface,0
31_aug_90,Ensure that Update the color scheme for component 10. (Variation 1),0,0,0,0,0,0,user_interface,1
31_aug_91,It is required to Update the color scheme for component 10. (Variation 2),0,0,0,0,0,0,user_interface,1
31_aug_92,The system shall Update the color scheme for component 10. (Variation 3),0,0,0,0,0,0,user_interface,1
32,Admin tool to modify transaction 9.,1,1,0,1,1,0,admin_function,0
32_aug_93,Ensure that Admin tool to modify transaction 9. (Variation 1),1,1,0,1,1,0,admin_function,1
32_aug_94,It is required to Admin tool to modify transaction 9. (Variation 2),1,1,0,1,1,0,admin_function,1
32_aug_95,The system shall Admin tool to modify transaction 9. (Variation 3),1,1,0,1,1,0,admin_function,1
33,Sort the table of product names alphabetically.,0,0,0,0,0,0,user_interface,0
33_aug_96,Ensure that Sort the table of product names alphabetically. (Variation 1),0,0,0,0,0,0,user_interface,1
33_aug_97,It is required to Sort the table of product names alphabetically. (Variation 2),0,0,0,0,0,0,user_interface,1
33_aug_98,The system shall Sort the table of product names alphabetically. (Variation 3),0,0,0,0,0,0,user_interface,1
34,Display the version number in the settings menu.,0,0,0,0,0,0,user_interface,0
34_aug_99,Ensure that Display the version number in the settings menu. (Variation 1),0,0,0,0,0,0,user_interface,1
34_aug_100,It is required to Display the version number in the settings menu. (Variation 2),0,0,0,0,0,0,user_interface,1
34_aug_101,The system shall Display the version number in the settings menu. (Variation 3),0,0,0,0,0,0,user_interface,1
35,Create user registration flow.,0,0,1,1,0,1,authentication,0
35_aug_102,Ensure that Create user registration flow. (Variation 1),0,0,1,1,0,1,authentication,1
35_aug_103,It is required to Create user registration flow. (Variation 2),0,0,1,1,0,1,authentication,1
35_aug_104,The system shall Create user registration flow. (Variation 3),0,0,1,1,0,1,authentication,1
36,Nuclear reactor control dashboard.,1,1,1,1,1,1,admin_function,0
36_aug_105,Ensure that Nuclear reactor control dashboard. (Variation 1),1,1,1,1,1,1,admin_function,1
36_aug_106,It is required to Nuclear reactor control dashboard. (Variation 2),1,1,1,1,1,1,admin_function,1
36_aug_107,The system shall Nuclear reactor control dashboard. (Variation 3),1,1,1,1,1,1,admin_function,1
37,Critical system 13 handling sensitive PII and payments.,1,1,1,1,1,1,integration,0
37_aug_108,Ensure that Critical system 13 handling sensitive PII and payments. (Variation 1),1,1,1,1,1,1,integration,1
37_aug_109,It is required to Critical system 13 handling sensitive PII and payments. (Variation 2),1,1,1,1,1,1,integration,1
37_aug_110,The system shall Critical system 13 handling sensitive PII and payments. (Variation 3),1,1,1,1,1,1,integration,1
38,API to fetch details for item 22.,0,1,0,0,0,1,api_endpoint,0
38_aug_111,Ensure that API to fetch details for item 22. (Variation 1),0,1,0,0,0,1,api_endpoint,1
38_aug_112,It is required to API to fetch details for item 22. (Variation 2),0,1,0,0,0,1,api_endpoint,1
38_aug_113,The system shall API to fetch details for item 22. (Variation 3),0,1,0,0,0,1,api_endpoint,1
39,Update the color scheme for component 2.,0,0,0,0,0,0,user_interface,0
39_aug_114,Ensure that Update the color scheme for component 2. (Variation 1),0,0,0,0,0,0,user_interface,1
39_aug_115,It is required to Update the color scheme for component 2. (Variation 2),0,0,0,0,0,0,user_interface,1
39_aug_116,The system shall Update the color scheme for component 2. (Variation 3),0,0,0,0,0,0,user_interface,1
40,Critical system 11 handling sensitive PII and payments.,1,1,1,1,1,1,integration,0
40_aug_117,Ensure that Critical system 11 handling sensitive PII and payments. (Variation 1),1,1,1,1,1,1,integration,1
40_aug_118,It is required to Critical system 11 handling sensitive PII and payments. (Variation 2),1,1,1,1,1,1,integration,1
40_aug_119,The system shall Critical system 11 handling sensitive PII and payments. (Variation 3),1,1,1,1,1,1,integration,1
41,Implement a dark mode toggle switch.,0,0,0,0,0,0,user_interface,0
41_aug_120,Ensure that Implement a dark mode toggle switch. (Variation 1),0,0,0,0,0,0,user_interface,1
41_aug_121,It is required to Implement a dark mode toggle switch. (Variation 2),0,0,0,0,0,0,user_interface,1
41_aug_122,The system shall Implement a dark mode toggle switch. (Variation 3),0,0,0,0,0,0,user_interface,1
42,Calculate the Fibonacci sequence up to 100.,0,0,0,0,0,0,trivial,0
42_aug_123,Ensure that Calculate the Fibonacci sequence up to 100. (Variation 1),0,0,0,0,0,0,trivial,1
42_aug_124,It is required to Calculate the Fibonacci sequence up to 100. (Variation 2),0,0,0,0,0,0,trivial,1
42_aug_125,The system shall Calculate the Fibonacci sequence up to 100. (Variation 3),0,0,0,0,0,0,trivial,1
43,Upload CSV to import contacts.,0,0,0,1,0,1,file_upload,0
43_aug_126,Ensure that Upload CSV to import contacts. (Variation 1),0,0,0,1,0,1,file_upload,1
43_aug_127,It is required to Upload CSV to import contacts. (Variation 2),0,0,0,1,0,1,file_upload,1
43_aug_128,The system shall Upload CSV to import contacts. (Variation 3),0,0,0,1,0,1,file_upload,1
44,Format the date string to DD/MM/YYYY.,0,0,0,0,0,0,user_interface,0
44_aug_129,Ensure that Format the date string to DD/MM/YYYY. (Variation 1),0,0,0,0,0,0,user_interface,1
44_aug_130,It is required to Format the date string to DD/MM/YYYY. (Variation 2),0,0,0,0,0,0,user_interface,1
44_aug_131,The system shall Format the date string to DD/MM/YYYY. (Variation 3),0,0,0,0,0,0,user_interface,1
45,Admin tool to modify transaction 32.,1,1,0,1,1,0,admin_function,0
45_aug_132,Ensure that Admin tool to modify transaction 32. (Variation 1),1,1,0,1,1,0,admin_function,1
45_aug_133,It is required to Admin tool to modify transaction 32. (Variation 2),1,1,0,1,1,0,admin_function,1
45_aug_134,The system shall Admin tool to modify transaction 32. (Variation 3),1,1,0,1,1,0,admin_function,1
46,API to fetch details for item 8.,0,1,0,0,0,1,api_endpoint,0
46_aug_135,Ensure that API to fetch details for item 8. (Variation 1),0,1,0,0,0,1,api_endpoint,1
46_aug_136,It is required to API to fetch details for item 8. (Variation 2),0,1,0,0,0,1,api_endpoint,1
46_aug_137,The system shall API to fetch details for item 8. (Variation 3),0,1,0,0,0,1,api_endpoint,1
47,Admin tool to modify transaction 33.,1,1,0,1,1,0,admin_function,0
47_aug_138,Ensure that Admin tool to modify transaction 33. (Variation 1),1,1,0,1,1,0,admin_function,1
47_aug_139,It is required to Admin tool to modify transaction 33. (Variation 2),1,1,0,1,1,0,admin_function,1
47_aug_140,The system shall Admin tool to modify transaction 33. (Variation 3),1,1,0,1,1,0,admin_function,1
48,Admin tool to modify transaction 16.,1,1,0,1,1,0,admin_function,0
48_aug_141,Ensure that Admin tool to modify transaction 16. (Variation 1),1,1,0,1,1,0,admin_function,1
48_aug_142,It is required to Admin tool to modify transaction 16. (Variation 2),1,1,0,1,1,0,admin_function,1
48_aug_143,The system shall Admin tool to modify transaction 16. (Variation 3),1,1,0,1,1,0,admin_function,1
49,Critical system 34 handling sensitive PII and payments.,1,1,1,1,1,1,integration,0
49_aug_144,Ensure that Critical system 34 handling sensitive PII and payments. (Variation 1),1,1,1,1,1,1,integration,1
49_aug_145,It is required to Critical system 34 handling sensitive PII and payments. (Variation 2),1,1,1,1,1,1,integration,1
49_aug_146,The system shall Critical system 34 handling sensitive PII and payments. (Variation 3),1,1,1,1,1,1,integration,1
50,Update the color scheme for component 11.,0,0,0,0,0,0,user_interface,0
50_aug_147,Ensure that Update the color scheme for component 11. (Variation 1),0,0,0,0,0,0,user_interface,1
50_aug_148,It is required to Update the color scheme for component 11. (Variation 2),0,0,0,0,0,0,user_interface,1
50_aug_149,The system shall Update the color scheme for component 11. (Variation 3),0,0,0,0,0,0,user_interface,1
51,Admin tool to modify transaction 34.,1,1,0,1,1,0,admin_function,0
51_aug_150,Ensure that Admin tool to modify transaction 34. (Variation 1),1,1,0,1,1,0,admin_function,1
51_aug_151,It is required to Admin tool to modify transaction 34. (Variation 2),1,1,0,1,1,0,admin_function,1
51_aug_152,The system shall Admin tool to modify transaction 34. (Variation 3),1,1,0,1,1,0,admin_function,1
52,API to fetch details for item 25.,0,1,0,0,0,1,api_endpoint,0
52_aug_153,Ensure that API to fetch details for item 25. (Variation 1),0,1,0,0,0,1,api_endpoint,1
52_aug_154,It is required to API to fetch details for item 25. (Variation 2),0,1,0,0,0,1,api_endpoint,1
52_aug_155,The system shall API to fetch details for item 25. (Variation 3),0,1,0,0,0,1,api_endpoint,1
53,Admin tool to modify transaction 15.,1,1,0,1,1,0,admin_function,0
53_aug_156,Ensure that Admin tool to modify transaction 15. (Variation 1),1,1,0,1,1,0,admin_function,1
53_aug_157,It is required to Admin tool to modify transaction 15. (Variation 2),1,1,0,1,1,0,admin_function,1
53_aug_158,The system shall Admin tool to modify transaction 15. (Variation 3),1,1,0,1,1,0,admin_function,1
54,Delete account feature.,1,1,0,0,1,0,user_interface,0
54_aug_159,Ensure that Delete account feature. (Variation 1),1,1,0,0,1,0,user_interface,1
54_aug_160,It is required to Delete account feature. (Variation 2),1,1,0,0,1,0,user_interface,1
54_aug_161,The system shall Delete account feature. (Variation 3),1,1,0,0,1,0,user_interface,1
55,Dashboard to view other users' private messages (Designated Support Staff).,1,1,1,0,1,0,admin_function,0
55_aug_162,Ensure that Dashboard to view other users' private messages (Designated Support Staff). (Variation 1),1,1,1,0,1,0,admin_function,1
55_aug_163,It is required to Dashboard to view other users' private messages (Designated Support Staff). (Variation 2),1,1,1,0,1,0,admin_function,1
55_aug_164,The system shall Dashboard to view other users' private messages (Designated Support Staff). (Variation 3),1,1,1,0,1,0,admin_function,1
56,Fetch user profile details by ID.,0,1,0,0,0,0,api_endpoint,0
56_aug_165,Ensure that Fetch user profile details by ID. (Variation 1),0,1,0,0,0,0,api_endpoint,1
56_aug_166,It is required to Fetch user profile details by ID. (Variation 2),0,1,0,0,0,0,api_endpoint,1
56_aug_167,The system shall Fetch user profile details by ID. (Variation 3),0,1,0,0,0,0,api_endpoint,1
57,Update the color scheme for component 28.,0,0,0,0,0,0,user_interface,0
57_aug_168,Ensure that Update the color scheme for component 28. (Variation 1),0,0,0,0,0,0,user_interface,1
57_aug_169,It is required to Update the color scheme for component 28. (Variation 2),0,0,0,0,0,0,user_interface,1
57_aug_170,The system shall Update the color scheme for component 28. (Variation 3),0,0,0,0,0,0,user_interface,1
58,Admin tool to modify transaction 29.,1,1,0,1,1,0,admin_function,0
58_aug_171,Ensure that Admin tool to modify transaction 29. (Variation 1),1,1,0,1,1,0,admin_function,1
58_aug_172,It is required to Admin tool to modify transaction 29. (Variation 2),1,1,0,1,1,0,admin_function,1
58_aug_173,The system shall Admin tool to modify transaction 29. (Variation 3),1,1,0,1,1,0,admin_function,1
59,Update the color scheme for component 9.,0,0,0,0,0,0,user_interface,0
59_aug_174,Ensure that Update the color scheme for component 9. (Variation 1),0,0,0,0,0,0,user_interface,1
59_aug_175,It is required to Update the color scheme for component 9. (Variation 2),0,0,0,0,0,0,user_interface,1
59_aug_176,The system shall Update the color scheme for component 9. (Variation 3),0,0,0,0,0,0,user_interface,1
60,Admin tool to modify transaction 3.,1,1,0,1,1,0,admin_function,0
60_aug_177,Ensure that Admin tool to modify transaction 3. (Variation 1),1,1,0,1,1,0,admin_function,1
60_aug_178,It is required to Admin tool to modify transaction 3. (Variation 2),1,1,0,1,1,0,admin_function,1
60_aug_179,The system shall Admin tool to modify transaction 3. (Variation 3),1,1,0,1,1,0,admin_function,1
61,Admin tool to modify transaction 6.,1,1,0,1,1,0,admin_function,0
61_aug_180,Ensure that Admin tool to modify transaction 6. (Variation 1),1,1,0,1,1,0,admin_function,1
61_aug_181,It is required to Admin tool to modify transaction 6. (Variation 2),1,1,0,1,1,0,admin_function,1
61_aug_182,The system shall Admin tool to modify transaction 6. (Variation 3),1,1,0,1,1,0,admin_function,1
62,Admin tool to modify transaction 37.,1,1,0,1,1,0,admin_function,0
62_aug_183,Ensure that Admin tool to modify transaction 37. (Variation 1),1,1,0,1,1,0,admin_function,1
62_aug_184,It is required to Admin tool to modify transaction 37. (Variation 2),1,1,0,1,1,0,admin_function,1
62_aug_185,The system shall Admin tool to modify transaction 37. (Variation 3),1,1,0,1,1,0,admin_function,1
63,Render a blue submit button on the form.,0,0,0,0,0,0,user_interface,0
63_aug_186,Ensure that Render a blue submit button on the form. (Variation 1),0,0,0,0,0,0,user_interface,1
63_aug_187,It is required to Render a blue submit button on the form. (Variation 2),0,0,0,0,0,0,user_interface,1
63_aug_188,The system shall Render a blue submit button on the form. (Variation 3),0,0,0,0,0,0,user_interface,1
64,API to fetch details for item 9.,0,1,0,0,0,1,api_endpoint,0
64_aug_189,Ensure that API to fetch details for item 9. (Variation 1),0,1,0,0,0,1,api_endpoint,1
64_aug_190,It is required to API to fetch details for item 9. (Variation 2),0,1,0,0,0,1,api_endpoint,1
64_aug_191,The system shall API to fetch details for item 9. (Variation 3),0,1,0,0,0,1,api_endpoint,1
65,Store user delivery address in the database.,0,0,1,1,0,0,data_storage,0
65_aug_192,Ensure that Store user delivery address in the database. (Variation 1),0,0,1,1,0,0,data_storage,1
65_aug_193,It is required to Store user delivery address in the database. (Variation 2),0,0,1,1,0,0,data_storage,1
65_aug_194,The system shall Store user delivery address in the database. (Variation 3),0,0,1,1,0,0,data_storage,1
66,Critical system 17 handling sensitive PII and payments.,1,1,1,1,1,1,integration,0
66_aug_195,Ensure that Critical system 17 handling sensitive PII and payments. (Variation 1),1,1,1,1,1,1,integration,1
66_aug_196,It is required to Critical system 17 handling sensitive PII and payments. (Variation 2),1,1,1,1,1,1,integration,1
66_aug_197,The system shall Critical system 17 handling sensitive PII and payments. (Variation 3),1,1,1,1,1,1,integration,1
67,Function to change user password.,1,0,1,0,1,0,authentication,0
67_aug_198,Ensure that Function to change user password. (Variation 1),1,0,1,0,1,0,authentication,1
67_aug_199,It is required to Function to change user password. (Variation 2),1,0,1,0,1,0,authentication,1
67_aug_200,The system shall Function to change user password. (Variation 3),1,0,1,0,1,0,authentication,1
68,Critical system 30 handling sensitive PII and payments.,1,1,1,1,1,1,integration,0
68_aug_201,Ensure that Critical system 30 handling sensitive PII and payments. (Variation 1),1,1,1,1,1,1,integration,1
68_aug_202,It is required to Critical system 30 handling sensitive PII and payments. (Variation 2),1,1,1,1,1,1,integration,1
68_aug_203,The system shall Critical system 30 handling sensitive PII and payments. (Variation 3),1,1,1,1,1,1,integration,1
69,Admin tool to modify transaction 10.,1,1,0,1,1,0,admin_function,0
69_aug_204,Ensure that Admin tool to modify transaction 10. (Variation 1),1,1,0,1,1,0,admin_function,1
69_aug_205,It is required to Admin tool to modify transaction 10. (Variation 2),1,1,0,1,1,0,admin_function,1
69_aug_206,The system shall Admin tool to modify transaction 10. (Variation 3),1,1,0,1,1,0,admin_function,1
70,Add a placeholder text to the search input.,0,0,0,0,0,0,user_interface,0
70_aug_207,Ensure that Add a placeholder text to the search input. (Variation 1),0,0,0,0,0,0,user_interface,1
70_aug_208,It is required to Add a placeholder text to the search input. (Variation 2),0,0,0,0,0,0,user_interface,1
70_aug_209,The system shall Add a placeholder text to the search input. (Variation 3),0,0,0,0,0,0,user_interface,1
71,Critical system 35 handling sensitive PII and payments.,1,1,1,1,1,1,integration,0
71_aug_210,Ensure that Critical system 35 handling sensitive PII and payments. (Variation 1),1,1,1,1,1,1,integration,1
71_aug_211,It is required to Critical system 35 handling sensitive PII and payments. (Variation 2),1,1,1,1,1,1,integration,1
71_aug_212,The system shall Critical system 35 handling sensitive PII and payments. (Variation 3),1,1,1,1,1,1,integration,1
72,Critical system 19 handling sensitive PII and payments.,1,1,1,1,1,1,integration,0
72_aug_213,Ensure that Critical system 19 handling sensitive PII and payments. (Variation 1),1,1,1,1,1,1,integration,1
72_aug_214,It is required to Critical system 19 handling sensitive PII and payments. (Variation 2),1,1,1,1,1,1,integration,1
72_aug_215,The system shall Critical system 19 handling sensitive PII and payments. (Variation 3),1,1,1,1,1,1,integration,1
73,Admin tool to modify transaction 23.,1,1,0,1,1,0,admin_function,0
73_aug_216,Ensure that Admin tool to modify transaction 23. (Variation 1),1,1,0,1,1,0,admin_function,1
73_aug_217,It is required to Admin tool to modify transaction 23. (Variation 2),1,1,0,1,1,0,admin_function,1
73_aug_218,The system shall Admin tool to modify transaction 23. (Variation 3),1,1,0,1,1,0,admin_function,1
74,Critical system 6 handling sensitive PII and payments.,1,1,1,1,1,1,integration,0
74_aug_219,Ensure that Critical system 6 handling sensitive PII and payments. (Variation 1),1,1,1,1,1,1,integration,1
74_aug_220,It is required to Critical system 6 handling sensitive PII and payments. (Variation 2),1,1,1,1,1,1,integration,1
